               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 145,             0.19863,            0.009708,                   0,             0.99556,                   1,               0.995,             0.95938,             0.22325,           0.0067609,                   0,            0.009208,            0.009208,            0.009208
                 146,              0.1878,           0.0095353,                   0,             0.99802,                   1,               0.995,             0.95896,               0.222,           0.0054196,                   0,           0.0092025,           0.0092025,           0.0092025
                 147,             0.18623,           0.0089506,                   0,             0.99703,                   1,               0.995,             0.96949,             0.21927,           0.0048371,                   0,            0.009197,            0.009197,            0.009197
                 148,             0.18495,           0.0088615,                   0,             0.99331,                   1,               0.995,             0.96856,             0.22224,            0.014747,                   0,           0.0091915,           0.0091915,           0.0091915
                 149,             0.18786,           0.0088934,                   0,             0.99608,                   1,               0.995,             0.95464,             0.21668,           0.0054288,                   0,            0.009186,            0.009186,            0.009186
                 150,             0.18824,           0.0088217,                   0,             0.99635,                   1,               0.995,             0.96791,             0.22037,           0.0048078,                   0,           0.0091805,           0.0091805,           0.0091805
                 151,             0.18898,           0.0088732,                   0,             0.98212,                   1,               0.995,             0.96265,             0.22112,           0.0056148,                   0,            0.009175,            0.009175,            0.009175
                 152,             0.18995,           0.0089639,                   0,             0.99678,                   1,               0.995,              0.9662,             0.21978,           0.0045774,                   0,           0.0091695,           0.0091695,           0.0091695
                 153,             0.18687,           0.0089386,                   0,             0.99534,                   1,               0.995,             0.97567,             0.22083,           0.0064589,                   0,            0.009164,            0.009164,            0.009164
                 154,             0.18894,           0.0089729,                   0,             0.99596,                   1,               0.995,             0.96702,             0.21381,           0.0043988,                   0,           0.0091585,           0.0091585,           0.0091585
                 155,             0.18037,           0.0088177,                   0,             0.99632,                   1,               0.995,             0.96382,             0.22127,           0.0048819,                   0,            0.009153,            0.009153,            0.009153
                 156,             0.18056,           0.0088514,                   0,               0.997,                   1,               0.995,             0.96968,             0.21687,           0.0052929,                   0,           0.0091475,           0.0091475,           0.0091475
                 157,             0.18427,           0.0089314,                   0,             0.99527,                   1,               0.995,             0.96638,             0.22259,           0.0051957,                   0,            0.009142,            0.009142,            0.009142
                 158,             0.17946,           0.0084398,                   0,             0.99761,                   1,               0.995,             0.96828,             0.21935,           0.0054046,                   0,           0.0091365,           0.0091365,           0.0091365
                 159,             0.18375,           0.0084857,                   0,             0.99633,             0.97297,              0.9839,             0.94217,             0.33733,           0.0065243,                   0,            0.009131,            0.009131,            0.009131
                 160,             0.18447,           0.0088537,                   0,             0.97971,                   1,             0.99447,             0.92689,             0.22598,           0.0055982,                   0,           0.0091255,           0.0091255,           0.0091255
                 161,             0.18456,           0.0088199,                   0,             0.99768,                   1,               0.995,             0.95797,                0.22,           0.0049266,                   0,             0.00912,             0.00912,             0.00912
                 162,             0.18446,           0.0088304,                   0,             0.99836,                   1,               0.995,             0.96603,             0.21594,           0.0047923,                   0,           0.0091145,           0.0091145,           0.0091145
                 163,             0.18211,           0.0089709,                   0,              0.9987,                   1,               0.995,             0.94539,             0.22979,           0.0050646,                   0,            0.009109,            0.009109,            0.009109
                 164,             0.18929,           0.0088838,                   0,             0.99746,                   1,               0.995,             0.96116,             0.22229,           0.0055164,                   0,           0.0091035,           0.0091035,           0.0091035
                 165,             0.19064,           0.0092568,                   0,             0.99726,                   1,               0.995,             0.96363,             0.22455,           0.0057764,                   0,            0.009098,            0.009098,            0.009098
                 166,             0.18472,           0.0091767,                   0,             0.93962,             0.97297,             0.99216,             0.96904,             0.22105,           0.0059077,                   0,           0.0090925,           0.0090925,           0.0090925
                 167,             0.18314,           0.0090687,                   0,              0.9961,                   1,               0.995,              0.9768,             0.21828,           0.0043148,                   0,            0.009087,            0.009087,            0.009087
                 168,             0.18321,           0.0084194,                   0,             0.99601,                   1,               0.995,             0.97836,             0.21553,           0.0046244,                   0,           0.0090815,           0.0090815,           0.0090815
                 169,             0.18187,           0.0085721,                   0,             0.99699,                   1,               0.995,             0.97147,             0.21538,            0.004056,                   0,            0.009076,            0.009076,            0.009076
